Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Choerodon robustus,Robust tuskfish,Labridae,benthic,species,45.5,26.9,73.5,0.546,0.348,0.95,0.126,0.08,0.189,18.4,15.6,20.8,30.3,17.2,54.1,72.2,20,258.8,1.27,0.83,2.2
Choeroichthys brachysoma,Short-bodied pipefish,Syngnathidae,pelagic,family,257,132,554,1.12,0.68,1.95,0.145,0.08,0.278,18.5,17.2,19.8,31.8,14.4,71.2,73.7,23,232.6,2.07,1.34,3.15
Chromis atripectoralis,Black-axil chromis,Pomacentridae,pelagic,genus,81,46,134,0.871,0.56,1.442,0.152,0.089,0.256,18.5,17.4,19.6,23.5,11.4,45.7,127,40,418,1.36,0.9,2.05
Chromis opercularis,Doublebar chromis,Pomacentridae,benthic,species,73.3,45.7,137.2,0.752,0.485,1.122,0.145,0.098,0.209,18.9,18,19.8,30.6,17.5,48.4,79,30,210,1.67,1.2,2.3
Chromis pembae,Pemba chromis,Pomacentridae,benthic,species,85.8,51.5,137.2,0.764,0.506,1.214,0.135,0.085,0.211,18.6,17.5,19.7,24.6,13.6,45.3,67.9,20.9,215.9,1.57,1.06,2.33
Chromis ternatensis,Ternate chromis,Pomacentridae,pelagic,species,91.4,51.9,151.6,0.874,0.555,1.466,0.163,0.093,0.275,18.6,17.5,19.7,22.7,10.9,43.5,155,50,485,1.36,0.89,2.05
Chromis viridis,Blue green damselfish,Pomacentridae,pelagic,species,62.5,31.5,126.9,1.41,0.75,2.58,0.225,0.118,0.442,19.1,17.8,20.3,10.8,4.7,23.9,78,18,300,1.15,0.7,1.98
Chromis weberi,Weber's chromis,Pomacentridae,pelagic,species,80,47,152,0.873,0.551,1.34,0.175,0.11,0.272,18.9,17.9,19.9,27.4,14.5,50.8,179,72,444,1.44,1.01,2.04
Chromis xutha,Buff chromis,Pomacentridae,pelagic,species,122,67,216,1.03,0.65,1.78,0.168,0.092,0.3,18.5,17.3,19.6,21,10,43,151,47,488,1.56,1.01,2.45
Chrysiptera annulata,Footballer demoiselle,Pomacentridae,benthic,species,128,76,275,0.942,0.587,1.453,0.166,0.104,0.26,18.9,17.9,19.8,26.1,14.1,44.5,107,39,291,2.02,1.4,2.84
Chrysiptera biocellata,Twinspot damselfish,Pomacentridae,benthic,species,89,50,153,0.894,0.573,1.445,0.123,0.072,0.201,18.4,17.2,19.5,25.9,13.2,51.7,41.9,11,158.2,1.76,1.15,2.69
Chrysiptera brownriggii,Surge damselfish,Pomacentridae,benthic,species,127,75,271,0.954,0.595,1.471,0.163,0.102,0.258,18.8,17.8,19.8,26.1,14,44.6,102,36,281,2.04,1.42,2.89
Chrysiptera glauca,Grey demoiselle,Pomacentridae,benthic,species,102,61,210,0.937,0.612,1.424,0.148,0.093,0.228,18.8,17.8,19.8,29.3,16,50,66.1,23.2,191.8,1.93,1.37,2.73
Chrysiptera unimaculata,Onespot demoiselle,Pomacentridae,benthic,species,104,59,213,0.959,0.613,1.524,0.144,0.086,0.233,18.6,17.6,19.6,27.6,14.3,50.7,68.6,21.9,223.1,2.09,1.43,3.03
Cirrhilabrus exquisitus,Exquisite wrasse,Labridae,pelagic,species,86.4,46.4,170.7,0.923,0.557,1.57,0.173,0.099,0.297,18.3,15.6,20.6,26.2,13.4,51.4,209,73,681,1.71,1.14,3.11
Cirrhitichthys aprinus,Spotted hawkfish,Cirrhitidae,pelagic,genus,113,53,205,0.842,0.476,1.704,0.305,0.143,0.674,17.6,16.4,18.8,21,9,53,158,38,596,1.87,1.14,3.05
Cirrhitichthys falco,Dwarf hawkfish,Cirrhitidae,pelagic,species,124,68,220,0.682,0.378,1.257,0.181,0.101,0.321,18.8,17.7,20,18.9,8.6,40.7,247,72,808,1.56,0.99,2.42
Cirrhitus pinnulatus,Stocky hawkfish,Cirrhitidae,benthic,species,59,40,110,0.618,0.378,0.9,0.154,0.114,0.208,19.5,18.6,20.4,35.7,21.8,55.5,81.9,34.1,187.1,1.25,0.92,1.65
Cirripectes auritus,Blackflap blenny,Blenniidae,benthic,species,147,73,300,0.968,0.57,1.703,0.104,0.053,0.197,18,17,19,25.8,12,57.8,76.9,21.6,285.1,2.5,1.6,4.1
Cirripectes castaneus,Chestnut eyelash-blenny,Blenniidae,benthic,species,162,67,341,1.16,0.61,2.33,0.198,0.081,0.462,16.9,15.6,18.1,26.7,11.1,67.1,89.3,19.4,390.7,3.05,1.86,5.37
Cirripectes filamentosus,Filamentous blenny,Blenniidae,benthic,species,143,71,290,0.961,0.569,1.676,0.103,0.053,0.194,18.1,16.9,19.2,26.3,12.3,58.5,73.6,20.6,269.2,2.46,1.55,4.01
Cirripectes fuscoguttatus,Spotted blenny,Blenniidae,benthic,species,94.2,52.8,185.6,0.91,0.58,1.47,0.14,0.08,0.23,18.5,17.5,19.6,27,14,52,72.3,22.6,238.7,2.09,1.41,3.05
Cirripectes perustus,Flaming blenny,Blenniidae,benthic,species,115,63,236,0.994,0.628,1.619,0.146,0.085,0.244,18.5,17.5,19.6,25.8,12.9,49.6,76.8,23.4,260.9,2.23,1.5,3.29
Cirripectes polyzona,,Blenniidae,benthic,species,107,60,203,0.776,0.497,1.245,0.107,0.062,0.177,18.5,17.5,19.5,30.6,16,57.5,80.9,28.1,226.4,1.9,1.3,2.8
Cirripectes stigmaticus,Red-streaked blenny,Blenniidae,benthic,species,115,58,223,0.869,0.524,1.511,0.0984,null,null,18.1,17,19.2,28.2,13.2,60.7,68.4,19.5,245.3,2.28,1.45,3.66
Cirripectes variolosus,Red-speckled blenny,Blenniidae,benthic,species,108,60,218,0.966,0.61,1.568,0.144,0.085,0.239,18.5,17.5,19.5,26.1,13.2,50.4,75.7,23.3,255.9,2.18,1.47,3.21
Coilia dussumieri,Goldspotted grenadier anchovy,Engraulidae,pelagic,species,488,151,"1,675",3.3,1.2,8.5,0.746,0.323,1.811,16.6,13.8,19.3,51.1,21.4,123,17.1,3.8,53.3,2.13,0.96,4.46
Conger cinereus,Longfin African conger,Congridae,pelagic,species,31.5,15.1,61.6,0.555,0.329,1.03,0.251,0.098,0.733,18.5,15.2,21.1,51.7,22.9,115.9,97.8,21.8,402.4,0.934,0.599,1.464
Cookeolus japonicus,Longfinned bullseye,Priacanthidae,benthic,species,31.6,18,66.9,0.99,0.59,1.55,0.196,0.123,0.316,20.5,19.6,21.4,25.2,13.5,47.8,15.4,4.6,49.9,0.803,0.539,1.201
Coris aygula,Clown coris,Labridae,benthic,species,17.6,2.1,48.3,0.377,0.209,0.675,0.109,0.054,0.219,19,16,21,45.4,18.3,124.1,71.3,23.2,223.3,1.34,0.6,2.41
Coris caudimacula,Spottail coris,Labridae,benthic,species,66.7,6.1,181.9,0.697,0.415,1.177,0.139,0.069,0.288,18.7,15.8,21,30.3,12.5,84.9,105,37,325,2.26,1.07,4.12
Coris cuvieri,,Labridae,benthic,species,41.3,4.2,109.9,0.573,0.341,0.953,0.125,0.064,0.25,18.8,15.9,21.1,35.3,14.7,99.2,85.2,30,259.5,1.91,0.9,3.45
Coris formosa,Queen coris,Labridae,benthic,species,28.5,3.1,77,0.494,0.295,0.841,0.115,0.059,0.226,18.8,15.9,21.1,39.9,16.3,107.7,72.8,24.5,224.2,1.71,0.81,3.03
Coryphaena equiselis,Pompano dolphinfish,Coryphaenidae,pelagic,species,64.8,33,135.9,2.12,1.09,3.66,0.439,0.238,0.789,20.6,19.4,21.7,44.2,20.1,95.2,3.83,1,14.73,0.546,0.34,0.908
Coryphaena hippurus,Common dolphinfish,Coryphaenidae,pelagic,species,82.4,36.1,184.2,2.59,1.17,5.47,0.559,0.218,1.407,19,18,20,52.6,14.2,152.4,2.94,0.57,14.36,0.706,0.422,1.222
Corythoichthys amplexus,Brown-banded pipefish,Syngnathidae,benthic,species,201,105,408,0.919,0.544,1.596,0.147,0.083,0.275,18.7,17.4,20,33.5,15.4,71.9,90.6,30,263.6,1.75,1.17,2.58
Corythoichthys flavofasciatus,Network pipefish,Syngnathidae,benthic,genus,171,95,331,0.962,0.615,1.547,0.13,0.08,0.24,18.5,17.3,19.7,35,17,73,59.1,19.6,169.4,1.82,1.23,2.66
Corythoichthys haematopterus,Messmate pipefish,Syngnathidae,benthic,species,121,67,223,0.741,0.45,1.21,0.132,0.079,0.232,18.7,17.6,20,38.2,19.5,75.9,73.4,26.4,192.7,1.46,1.01,2.07
Corythoichthys schultzi,Schultz's pipefish,Syngnathidae,benthic,species,150,81,290,0.831,0.507,1.395,0.136,0.08,0.247,18.8,17.6,20,37.9,18.3,78.5,68.8,23.2,191.1,1.54,1.06,2.23
Cosmocampus banneri,Roughridge pipefish,Syngnathidae,pelagic,family,285,142,621,1.15,0.69,2.02,0.149,0.08,0.292,18.4,17.1,19.7,30.2,13.4,68.5,85.5,26.9,268.4,2.18,1.4,3.36
Crenimugil crenilabis,Fringelip mullet,Mugilidae,benthic,species,47.5,18.9,109.4,0.813,0.453,1.667,0.308,0.139,0.721,18,16,20,39.9,17.3,91,50.1,9.9,230.1,1.72,1.03,2.88
Crenimugil seheli,Bluespot mullet,Mugilidae,benthic,species,50.5,20.5,115.6,0.857,0.48,1.722,0.308,0.141,0.714,18.1,16.2,19.8,41,18,94,43.5,8.8,196.3,1.73,1.04,2.85
Cryptocentrus cryptocentrus,Ninebar prawn-goby,Gobiidae,benthic,genus,101,55,199,0.774,0.429,1.313,0.153,0.079,0.252,18.6,16.8,20.3,28.2,15.1,49.6,92.3,28.1,262.4,1.69,1.06,2.56
Cryptocentrus fasciatus,Y-bar shrimp goby,Gobiidae,benthic,genus,112,58,221,0.719,0.404,1.286,0.105,0.051,0.185,18.2,16.3,19.9,30.8,15.6,61.3,83.5,24.6,254.8,1.78,1.07,2.79
Ctenochaetus binotatus,Twospot surgeonfish,Acanthuridae,benthic,species,35.3,21.9,62.2,0.235,0.118,0.578,0.129,0.084,0.201,18.5,17.4,19.7,20.7,12,37.5,28.1,7.3,104.1,0.45,0.3,1.35
Ctenochaetus marginatus,Striped-fin surgeonfish,Acanthuridae,benthic,species,29.5,18.4,52.2,0.215,0.108,0.531,0.125,0.081,0.192,18.5,17.4,19.6,21.5,12.2,39.1,27.7,7.1,100.9,0.426,0.285,1.282
Ctenochaetus striatus,Striated surgeonfish,Acanthuridae,benthic,species,34,21,60,0.24,0.12,0.59,0.126,0.082,0.194,18.6,17.5,19.8,22.6,12.9,41.7,21.9,5.6,81.4,0.429,0.29,1.31
Ctenochaetus truncatus,Indian gold-ring bristle-tooth,Acanthuridae,benthic,genus,42,26,73,0.246,0.121,0.613,0.136,0.087,0.214,18.4,17.3,19.6,18.5,10.7,34,36.4,9.4,136.3,0.492,0.325,1.501
Ctenogobiops crocineus,,Gobiidae,pelagic,species,220,101,487,0.895,0.479,1.735,0.128,0.06,0.251,18.2,16.3,19.9,24.7,11,55.9,143,40,464,2.18,1.26,3.61
Ctenogobiops feroculus,Sandy prawn-goby,Gobiidae,pelagic,genus,160,78,337,0.821,0.45,1.528,0.114,0.054,0.212,18.1,16.2,19.8,26.8,12.6,56.6,111,31,356,2.07,1.22,3.35
Cymolutes lecluse,Sharp-headed wrasse,Labridae,pelagic,species,70.2,38.3,136.3,0.746,0.412,1.288,0.184,0.107,0.302,18.7,15.9,21,28.2,15,59.7,265,89,870,1.36,0.92,2.5
Cynoglossus bilineatus,Fourlined tonguesole,Cynoglossidae,benthic,species,159,78,318,0.929,0.541,1.713,0.318,0.141,0.699,17.2,14.7,19.5,57.7,27.1,140.8,16.4,4.5,58.4,1.17,0.77,1.76
Cyprinocirrhites polyactis,Swallowtail hawkfish,Cirrhitidae,pelagic,species,65.7,38,106.8,0.766,0.488,1.255,0.149,0.089,0.243,18.5,17.4,19.6,24,12,46,142,44,464,1.26,0.83,1.89
Cypselurus poecilopterus,Yellowing flyingfish,Exocoetidae,pelagic,species,326,157,785,1.89,1.08,3.07,0.276,0.12,0.738,17.9,16,19.8,55.4,26.7,117.1,19.2,6.7,70.8,1.38,0.9,2.03
Dactyloptena orientalis,Oriental flying gurnard,Dactylopteridae,benthic,species,104,48,294,0.831,0.493,1.47,0.14,0.06,0.41,18.3,16.7,19.7,55.9,26.5,151,25.1,8,78.8,1.25,0.81,1.92
Dascyllus aruanus,Whitetail dascyllus,Pomacentridae,pelagic,species,84.9,47.4,141.9,0.825,0.515,1.381,0.161,0.091,0.276,18.5,17.3,19.5,21.5,10,42.3,192,58,615,1.39,0.9,2.14
Dascyllus carneus,Cloudy dascyllus,Pomacentridae,benthic,species,144,84,321,1.02,0.64,1.59,0.167,0.102,0.268,18.8,17.8,19.8,25.8,13.7,44.7,99.4,34.9,284.6,2.12,1.45,3.03
Dascyllus reticulatus,Reticulate dascyllus,Pomacentridae,pelagic,species,89.5,48.9,152,0.867,0.541,1.449,0.159,0.089,0.278,18.4,17.2,19.5,20.9,9.6,42.2,184,54,607,1.47,0.95,2.27
Dascyllus trimaculatus,Threespot dascyllus,Pomacentridae,benthic,species,69.8,39.4,116.4,0.85,0.54,1.38,0.142,0.083,0.236,18.4,17.3,19.5,23.9,11.6,47.9,107,33,363,1.36,0.9,2.05
Decapterus macarellus,Mackerel scad,Carangidae,pelagic,species,576,160,"2,204",7.29,2.43,19.24,0.705,0.315,1.624,21.6,20,23.1,58.6,16.5,222.3,2.37,0.4,13.77,0.941,0.47,2.005
Decapterus macrosoma,Shortfin scad,Carangidae,pelagic,species,227,63,576,2.44,0.91,5.49,0.23,0.12,0.45,20.6,19.3,21.8,71.5,27.5,172.6,36.9,13.3,115.9,1.18,0.68,2.04
Decapterus russelli,Indian scad,Carangidae,pelagic,species,617,179,"1,851",2.57,0.89,6.95,0.367,0.163,0.86,20,18,21,126,40,384,8.94,2.11,39.23,1.26,0.64,2.47
Dendrochirus brachypterus,Dwarf lionfish,Scorpaenidae,benthic,species,87.8,45,225.7,0.677,0.361,1.201,0.222,0.103,0.594,18.3,16.3,20.2,32.3,15.8,70.9,144,52,380,1.48,0.99,2.15
Dendrochirus zebra,Zebra turkeyfish,Scorpaenidae,pelagic,species,64.5,33,158.8,0.541,0.267,1.019,0.223,0.102,0.603,18.4,16.4,20.3,33.6,16,75.8,174,59,492,1.26,0.83,1.85
Diagramma pictum,Painted sweetlips,Haemulidae,benthic,species,25.8,10.5,71.3,0.493,0.2,1.044,0.104,0.05,0.21,19.9,17.8,22,47.6,17.3,127.8,37.9,16.2,85.4,0.534,0.283,1.758
Dinematichthys iluocoeteoides,Yellow pigmy brotula,Dinematichthyidae,benthic,species,139,77,258,0.904,0.582,1.468,0.119,0.066,0.214,17.2,14.4,19.7,32.9,16.5,66.5,61.7,20.5,183,1.97,1.31,2.93
Diodon holocanthus,Longspined porcupinefish,Diodontidae,benthic,species,33.9,12.8,86,0.856,0.449,1.832,0.188,0.091,0.371,19.8,17.6,22,19.1,8.5,46.7,24.1,5.9,99.4,0.725,0.432,1.211
Diodon hystrix,Spot-fin porcupinefish,Diodontidae,benthic,species,22.1,8.6,53.1,0.752,0.396,1.578,0.166,0.08,0.322,19.8,17.6,22,22,10,54,16.6,4.1,67.8,0.635,0.381,1.046
Diodon liturosus,Black-blotched porcupinefish,Diodontidae,benthic,species,38.9,15.3,82.3,0.545,0.338,1.103,0.113,0.06,0.209,19,17,21,41.4,21.9,89.8,31.5,9.6,102.1,0.913,0.603,1.403
Dipterygonotus balteatus,Mottled fusilier,Caesionidae,pelagic,species,98.7,57.2,208.8,1.07,0.7,1.61,0.175,0.111,0.275,19.1,18.2,20.1,31.5,17.4,56.8,102,41,248,1.43,1.01,2.01
Doryrhamphus excisus,Bluestripe pipefish,Syngnathidae,pelagic,species,180,92,362,1.12,0.67,1.9,0.152,0.081,0.282,18,17,19,27.7,12.8,58,172,59,466,1.85,1.21,2.82
Dunckerocampus dactyliophorus,Ringed pipefish,Syngnathidae,benthic,species,132,73,250,0.787,0.482,1.303,0.133,0.079,0.236,18.8,17.6,20,39,19,79,65.3,22.8,178.3,1.47,1.02,2.11
Dunckerocampus multiannulatus,Many-banded pipefish,Syngnathidae,benthic,species,132,73,250,0.787,0.482,1.303,0.133,0.079,0.236,18.8,17.6,20,39,19,79,65.3,22.8,178.3,1.47,1.02,2.11
Echeneis naucrates,Live sharksucker,Echeneidae,pelagic,species,26.4,11.9,54.3,1.08,0.52,2.12,0.27,0.12,0.65,18.6,17.4,19.7,25.6,10.2,61.2,34.6,7.3,150.7,0.865,0.526,1.484
Echidna leucotaenia,Whiteface moray,Muraenidae,benthic,genus,49.7,24.1,92.9,0.573,0.354,1.055,0.236,0.095,0.66,18.3,16,20.7,44.8,21.4,96,69.6,16.1,272.2,1.39,0.9,2.11
Echidna nebulosa,Starry moray,Muraenidae,pelagic,species,32.9,18.8,57.1,0.389,0.219,0.652,0.122,0.056,0.318,19.7,17.5,22.1,49.9,28.2,95.5,62,18,199,0.911,0.632,1.268
Echidna polyzona,Barred moray,Muraenidae,benthic,species,39.7,23.3,66.7,0.455,0.275,0.741,0.119,0.056,0.302,19.5,17.3,21.8,47.5,27.3,86.5,54.3,15.5,172.1,1.07,0.75,1.48
Ecsenius midas,Persian blenny,Blenniidae,benthic,species,106,59,199,0.79,0.51,1.29,0.103,0.059,0.175,18.4,17.4,19.4,30.7,15.6,58.9,73.7,24.8,216.9,1.96,1.3,2.94
Ecsenius nalolo,Nalolo,Blenniidae,benthic,species,168,83,354,1.06,0.62,1.85,0.106,0.053,0.201,18.1,17,19.2,26.3,12.1,58.4,67.5,18.5,246.5,2.57,1.59,4.2
Elagatis bipinnulata,Rainbow runner,Carangidae,pelagic,species,16.3,8.6,30.7,0.861,0.495,1.588,0.219,0.133,0.366,20.9,19.9,21.9,29.2,15.3,54.1,26.4,8.7,79.4,0.476,0.315,0.731
Eleotris fusca,Dusky sleeper,Eleotridae,benthic,species,552,229,"1,146",0.767,0.456,1.429,0.392,0.191,0.801,16.9,15.4,18.5,75,35,158,27.4,10.2,78,1.85,1.26,2.74
Ellochelon vaigiensis,Squaretail mullet,Mugilidae,pelagic,species,45.1,17.8,104.1,0.805,0.444,1.665,0.301,0.135,0.707,18,16,20,40.4,17.3,93.9,47.6,9.3,223,1.72,1.03,2.9
Elops saurus,Ladyfish,Elopidae,benthic,species,30.9,13.9,63.6,1.16,0.59,2.23,0.3,0.1,0.7,16.5,14.2,19.5,26.1,10.7,62.2,33.3,7.3,150.2,0.896,0.543,1.544
Encheliophis gracilis,Graceful pearlfish,Carapidae,benthic,species,64.7,37.2,113.1,0.581,0.356,0.952,0.108,0.064,0.185,17.3,14.6,19.8,37.2,20.4,70.8,75.4,26.5,205.9,1.45,0.98,2.08
Encheliophis homei,Silver pearlfish,Carapidae,benthic,species,89.1,50.2,162.2,0.577,0.311,0.972,0.129,0.077,0.226,17.5,14.6,19.9,31.8,16.5,61.4,149,51,412,1.49,1,2.14
Enchelyurus kraussii,Krauss' blenny,Blenniidae,benthic,family,224,115,492,1.02,0.61,1.77,0.127,0.067,0.242,18.3,17.2,19.4,23.7,11.2,49.8,134,42,408,2.52,1.59,4.01
Enneapterygius abeli,Yellow triplefin,Tripterygiidae,benthic,genus,413,193,"1,202",1.56,0.88,3,0.221,0.108,0.455,19.2,17.9,20.4,22.4,9.5,52.7,116,32,421,2.59,1.6,4.17
Enneapterygius elegans,Hourglass triplefin,Tripterygiidae,benthic,genus,333,167,831,1.23,0.72,2.31,0.142,0.072,0.285,18.8,17.5,20,26.8,11.4,60,98.5,29.7,327.5,2.43,1.5,3.83
Enneapterygius philippinus,Minute triplefin,Tripterygiidae,benthic,genus,435,204,"1,174",1.42,0.78,2.8,0.149,0.071,0.318,18.8,17.5,20,25.9,10.3,62.6,95.1,25.7,351.9,2.63,1.58,4.3
Entomacrodus striatus,Reef margin blenny,Blenniidae,benthic,species,111,58,216,0.875,0.532,1.501,0.097,0.051,0.176,18.1,17,19.2,29.5,14,62.9,60.5,17.4,213.6,2.22,1.42,3.54
Entomacrodus thalassinus,Sea blenny,Blenniidae,benthic,species,226,108,505,1.17,0.66,2.13,0.114,0.055,0.23,18,17,19,22.9,10,54,91.2,24.5,347.8,2.92,1.77,4.96
Epibulus insidiator,Sling-jaw wrasse,Labridae,pelagic,species,40.9,13.6,316.9,0.473,0.19,1.155,0.153,0.075,0.31,18.7,15.8,21.1,30.7,11.7,86,93,25,337,1.94,0.63,3.66
Epinephelus areolatus,Areolate grouper,Serranidae,benthic,species,25.4,13.4,57.7,0.454,0.252,0.922,0.121,0.079,0.192,18.4,16.8,19.7,34.8,19.7,58.4,244,72,891,1.39,0.87,2.07
Epinephelus chlorostigma,Brownspotted grouper,Serranidae,benthic,species,21.2,11.2,46.6,0.432,0.239,0.899,0.117,0.075,0.189,18.7,17.2,20,42.8,24.3,71.7,157,46,541,1.15,0.72,1.74
Epinephelus coeruleopunctatus,Whitespotted grouper,Serranidae,benthic,species,19.8,10.3,44.6,0.429,0.238,0.88,0.112,0.072,0.181,18.5,17,19.8,40.7,23.6,68.9,165,48,580,1.22,0.76,1.84
Epinephelus fasciatus,Blacktip grouper,Serranidae,benthic,species,34.7,15.4,85,0.604,0.286,1.382,0.248,0.121,0.515,17.1,15.4,18.6,29.5,13.2,67.9,388,84,"1,743",1.9,1.1,3.1
Epinephelus flavocaeruleus,Blue-and-yellow grouper,Serranidae,benthic,species,18.3,9.6,40.9,0.378,0.211,0.798,0.119,0.075,0.193,18.8,17.2,20.1,42.1,23.3,71.7,195,56,699,1.09,0.68,1.64
Epinephelus fuscoguttatus,Brown-marbled grouper,Serranidae,pelagic,species,16.6,8.5,36.9,0.391,0.216,0.819,0.112,0.069,0.185,18.9,17.3,20.2,47.5,27,83.2,129,38,455,1.02,0.64,1.55
Epinephelus hexagonatus,Starspotted grouper,Serranidae,pelagic,species,49.2,24.2,110.7,0.84,0.41,1.74,0.149,0.09,0.249,18.5,16.9,19.9,35,18,71,237,58,931,1.36,0.82,2.17
Epinephelus lanceolatus,Giant grouper,Serranidae,pelagic,species,8.39,3.39,22.2,0.432,0.185,0.974,0.2,0.1,0.5,17.3,15.5,18.9,48.1,18.5,130.6,246,44,"1,330",0.959,0.534,1.746
Epinephelus longispinis,Longspine grouper,Serranidae,pelagic,species,26.8,14.1,59.1,0.443,0.248,0.93,0.128,0.083,0.203,18.7,17.2,20,37.8,20.8,62.8,230,65,808,1.24,0.79,1.87
Epinephelus macrospilos,Snubnose grouper,Serranidae,benthic,species,26.9,14.3,59.8,0.478,0.266,0.969,0.122,0.08,0.192,18.5,17,19.8,37.4,21.4,61.7,199,59,698,1.34,0.84,2.02
Epinephelus malabaricus,Malabar grouper,Serranidae,benthic,species,23.8,9.8,59.9,0.691,0.285,1.905,0.208,0.087,0.49,18.3,16.5,19.8,70.2,25.4,205.2,36.1,6.8,194.7,1.11,0.6,2
Epinephelus melanostigma,One-blotch grouper,Serranidae,pelagic,species,36.6,19.3,81.4,0.527,0.292,1.059,0.134,0.088,0.212,18.6,17,19.9,34.3,18.9,56.8,245,69,857,1.44,0.91,2.16
Epinephelus merra,Honeycomb grouper,Serranidae,benthic,species,40,20,92,0.784,0.391,1.605,0.138,0.086,0.227,18.4,16.8,19.7,36,19,67,225,58,831,1.37,0.83,2.13
Epinephelus morrhua,Comet grouper,Serranidae,pelagic,species,20.7,10.9,45.4,0.439,0.242,0.913,0.116,0.073,0.187,18.8,17.3,20.1,45.1,25.7,76.5,131,39,459,1.12,0.7,1.69
Epinephelus multinotatus,White-blotched grouper,Serranidae,benthic,species,20.8,10.8,45.7,0.464,0.251,0.956,0.112,0.07,0.185,18.8,17.3,20.1,48.2,28,84.6,99.9,28.8,354,1.1,0.7,1.7
Epinephelus ongus,White-streaked grouper,Serranidae,benthic,species,46.2,20.3,110.5,0.733,0.343,1.795,0.261,0.127,0.543,17.4,15.8,18.8,33.5,15.3,77.4,250,57,"1,064",1.83,1.09,2.95
Epinephelus polyphekadion,Camouflage grouper,Serranidae,benthic,species,19.4,10.2,43,0.417,0.231,0.863,0.115,0.073,0.186,18.7,17.2,20,43.8,25,74.3,151,45,524,1.12,0.7,1.69
Epinephelus quoyanus,Longfin grouper,Serranidae,pelagic,species,28.3,14.5,64.2,0.594,0.317,1.231,0.136,0.088,0.221,18.3,16.7,19.6,33.7,18.2,63,356,94,"1,317",1.25,0.77,1.9
Epinephelus spilotoceps,Foursaddle grouper,Serranidae,pelagic,genus,36.1,19,80.4,0.534,0.296,1.072,0.132,0.087,0.207,18.5,17,19.8,34.4,19.3,56.5,232,67,808,1.47,0.93,2.19
Epinephelus summana,Summan grouper,Serranidae,pelagic,genus,34.3,15.2,83.1,0.633,0.302,1.467,0.246,0.121,0.502,17.3,15.7,18.8,34.2,15.6,77.6,262,59,"1,127",1.72,1.02,2.83
Epinephelus tauvina,Greasy grouper,Serranidae,pelagic,species,10.9,5,26.7,0.706,0.334,1.413,0.178,0.099,0.327,19.2,17.6,20.6,21,10,41,146,32,538,0.741,0.429,1.253
Epinephelus tukula,Potato grouper,Serranidae,pelagic,species,12.2,6,27.5,0.345,0.185,0.743,0.105,0.061,0.185,19,17,20,54.3,29.9,101.3,102,30,362,0.874,0.541,1.356
Equulites leuciscus,Whipfin ponyfish,Leiognathidae,benthic,species,277,100,741,1.55,0.65,3.49,0.28,0.14,0.61,20,18,22,50.7,17.3,147.4,17.4,3.7,64.7,1.71,0.8,3.35
Etelis carbunculus,Deep-water red snapper,Lutjanidae,pelagic,species,66.7,34,123.7,0.68,0.36,1.18,0.244,0.132,0.441,18.6,16.7,20.3,89.1,43.2,174.9,23.7,8.4,78.8,0.711,0.449,1.115
Etelis coruscans,Deepwater longtail red snapper,Lutjanidae,pelagic,species,5.1,2.4,10.9,0.227,0.118,0.404,0.2,0.1,0.4,19,17,21,16.3,6.6,36.8,35.7,8,179,0.298,0.185,0.476
Eubleekeria splendens,Splendid ponyfish,Leiognathidae,pelagic,species,360,140,"1,074",2.31,0.87,6.09,0.494,0.223,1.09,17.5,15.5,19.7,114,40,389,3.89,0.69,29.99,2.79,1.13,5.62
Euleptorhamphus viridis,Ribbon halfbeak,Hemiramphidae,pelagic,species,129,58,345,1.97,1,3.47,0.368,0.173,0.898,19,17,21,29,14,60,14.5,4.1,62.3,0.912,0.582,1.525
Eurypegasus draconis,Short dragonfish,Pegasidae,benthic,species,198,95,382,1.28,0.78,2.39,0.384,0.183,0.834,17.6,16.4,18.9,27.7,12.8,62.4,103,29,350,2.34,1.55,3.52
Euthynnus affinis,Kawakawa,Scombridae,pelagic,species,35.8,10.9,191.6,1.98,0.86,5.32,0.381,0.193,0.791,23.2,21.7,24.7,74.6,38.2,148.3,19.8,4.8,73.4,0.505,0.227,2.02
Eviota albolineata,White-line dwarfgoby,Gobiidae,benthic,family,305,134,723,1.1,0.6,2.2,0.13,0.06,0.27,18,16,20,23.1,9.9,54.9,126,34,448,2.57,1.46,4.42
Eviota distigma,Twospot dwarfgoby,Gobiidae,benthic,family,447,179,"1,124",1.26,0.65,2.6,0.143,0.058,0.319,17.9,15.9,19.7,19.7,7.7,51.2,174,43,677,3.01,1.63,5.44
Eviota guttata,Spotted dwarfgoby,Gobiidae,benthic,family,326,140,779,1.12,0.61,2.23,0.133,0.057,0.276,18,16,20,22.2,9.4,53.6,138,36,500,2.66,1.49,4.61
